Stock,09:30AM,10:00AM,11:00AM,12:00PM,01:00PM,02:00PM,03:00PM,04:00PM
A,74.62184473897756,74.61672727272729,74.63751485148516,74.61948974943054,74.61927161334242,74.555452876377,74.57199725597806,74.52470355049984
AA,29.34034030968181,29.32008337193145,29.319821049438882,29.309622435020533,29.28451525708795,29.28376584022039,29.282349345450612,29.277516645859343
AABA,67.3991053220592,67.37123175704001,67.38772837161116,67.3731720639243,67.38021612933431,67.36831457313761,67.38282272166227,67.37341999411366
AAC,2.37,2.37,2.369090909090909,2.369090909090909,2.369090909090909,2.369090909090909,2.3385714285714285,2.3385714285714285
AAL,36.46048020248249,36.45228996176815,36.4473859951506,36.4442505757592,36.444555772795376,36.44276430533987,36.44247834814381,36.43932887104909
AAN,49.436853303471445,49.43830065359477,49.42661983032873,49.436620505345,49.43964073129252,49.437909273518585,49.43985608020699,49.43970394736842
AAOI,17.09785234899329,17.064797136038184,16.99791374122367,16.87992074927954,16.900087365591396,16.908646034816247,16.886085663295656,16.874679158110883
AAON,35.96068965517241,35.9908782742681,35.96939919893191,35.968276089828265,35.967828083989495,35.967828083989495,35.98548143851508,36.00258316008316
AAP,158.87952464275293,158.90403966313497,158.89472278738552,158.90479358339226,158.90321533258168,158.90994461014057,158.9298094665062,158.953542879317
AAPL,163.12226504251706,163.11311854129545,163.11597517473976,163.1090820875527,163.099111116918,163.10390019080987,163.09119726026367,163.08916771237116
AAWW,51.986067280736876,51.982651093807924,51.982651093807924,51.97282909090908,51.968768913342494,51.94459087860495,51.95222907203114,51.95308158062459
AAXJ,67.63819866782508,67.62734738571037,67.68282317227421,67.68282317227421,67.68282317227421,67.69965457685664,67.69402774512108,67.711279577303
AAXN,49.16539691770864,49.178628281117696,49.181330339601466,49.19954557749527,49.16364362365861,49.19249154453214,49.20162618796199,49.20873752079868
AB,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
ABB,19.292993138936534,19.30306647080426,19.296923597025017,19.29681568975248,19.291420417363486,19.290055055775458,19.292068095402698,19.282110756463453
ABBV,78.18369340604148,78.17734753634895,78.17677659310687,78.16432816242728,78.17239387798637,78.16537129806986,78.170599050477,78.15997422680412
ABC,78.95995301910042,78.95174620548745,78.97094916808594,79.00023409114502,78.98780683403068,78.99960663230574,79.01090069814441,79.00723684210527
ABCB,37.7192481564604,37.7099532991865,37.711529600466605,37.71180139575458,37.746760688085,37.740191183633705,37.73407932011332,37.72960784313725
ABDC,7.175,7.175,7.179285714285714,7.179285714285714,7.179285714285714,7.179285714285714,7.179285714285714,7.179285714285714
ABEO,6.483339920948618,6.483339920948618,6.483759842519686,6.483759842519686,6.5080909090909085,6.502298969072164,6.502034764826176,6.502034764826176
ABEV,4.771542478565861,4.7708403421240195,4.7695265922521335,4.765919153553988,4.765262347318109,4.762191631003328,4.769367976496511,4.766620969964177
ABG,69.96978873239438,69.95765822784811,69.96765258215963,69.96169329073483,69.96169329073483,69.96169329073483,69.95006134969326,69.83534772182254
ABIL,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
ABIO,0.43799999999999994,0.43799999999999994,0.43799999999999994,0.43799999999999994,0.43799999999999994,0.43799999999999994,0.43799999999999994,0.43799999999999994
ABM,33.07301411909146,33.07301411909146,33.07301411909146,33.074149453219924,33.07479128856624,33.08978516624041,33.089324530218384,33.102241847826086
ABMD,332.83657812824237,332.9916590038314,333.03338028169014,333.03749999999997,333.04072137514385,333.0519890393295,332.91338598647826,332.90022777327
ABR,11.729641216991963,11.729641216991963,11.729641216991963,11.73587273641851,11.735830938697319,11.735830938697319,11.740849484536083,11.740849484536083
ABT,70.83810053043696,70.8192194625407,70.8084173083975,70.80223839339239,70.79168927171047,70.80143683170617,70.86374634808014,70.90332493580738
ABTX,36.21715767634854,36.21715767634854,36.21852122015915,36.21969716494845,36.22482078853046,36.22131770833333,36.22131770833333,36.22131770833333
ABUS,3.68,3.68,3.68,3.68,3.68,3.68,3.6875,3.6875
AC,41.22,41.22,41.22,41.22,41.22,40.82,40.82,40.82
ACA,28.812057142857142,28.78980487804878,28.78822950819672,28.78822950819672,28.78822950819672,28.78822950819672,28.78822950819672,28.65548596112311
ACAD,22.601699848790325,22.594593130474877,22.594008352966377,22.615820483533223,22.584983479266484,22.59262787015044,22.585375539374333,22.59694922654691
ACB,6.966411283146467,6.965512327329953,6.965151985618565,6.964158483154555,6.965062147709206,6.954452730030333,6.954021381578947,6.954085820895522
ACBI,18.3525,18.3525,18.3975,18.3975,18.396870229007636,18.396749347258485,18.396749347258485,18.395663507109006
ACC,46.09324200913242,46.09324200913242,46.101708333333335,46.090698113207544,46.04677210365853,46.04677210365853,46.07881526104417,46.098277854831245
ACCO,8.834405940594058,8.833735632183906,8.833735632183906,8.838644859813083,8.838644859813083,8.838644859813083,8.846732283464565,8.846732283464565
ACER,23.67391304347826,23.67391304347826,23.67391304347826,23.67391304347826,23.67391304347826,23.67391304347826,23.67391304347826,23.941860465116278
ACET,1.1901168614357263,1.1901168614357263,1.1901168614357263,1.1901168614357263,1.1901168614357263,1.1921993670886077,1.1921993670886077,1.1921993670886077
ACGL,28.984878479893947,28.985509594882732,28.985242120642873,28.988567079159303,28.99302542862647,28.991723079784272,28.989414691514387,28.994242259218925
ACGLO,22.78,22.78,22.78,22.78,22.756,22.756,22.762857142857143,22.762857142857143
ACGLP,22.152154308617234,22.152154308617234,22.15193912063134,22.15193912063134,22.15141722138716,22.15141722138716,22.151348039215687,22.151348039215687
